extracted_name,fixed_name,region,fixed,incorrect_or_ambiguous,country,stemmed_name
a maata,a maata,,,x,,a m
Ääne koski,Äänekoski,,x,,,ääne kosk
Äänekosken mlk,Äänekosken mlk,other,x,,,äänekosken mlk
Äänislinnassa,Äänislinna,,x,,,äänislin
Ah lainen,Ahlainen,other,x,,,ah lain
Äh täri,Ähtäri,other,x,,,äh tär
Ahlainon,Ahlainen,,x,,,ahlaino
Ahlaisissa,Ahlainen,,x,,,ahlais
Ahlajärvellä,Ahlajärvi,other,x,,,ahlajärv
Ähtä,Ähtä,,,x,,äh
Ähtä-vö,Ähtävä,other,x,,,ähtä-vö
Ahtiaisissa,Ahtiainen,,x,,,ahtiais
Ahvenan-Aino Järvinen Aleksanteri Karlamaa Martti Korvenalamaa,Ahvenan-Aino Järvinen    Aleksanteri Karlamaa    Martti Korvenalamaa,,,x,,ahvenan-aino järvinen    aleksanteri karlamaa    martti korvenalam
Ahvenjär-vellä,Ahvenjärvi,,x,,,ahvenjär-v
Aitolahdella,Aitolahti,,x,,,aitolahd
Äkaassa,Akaa,,x,,,äka
Akanlahde,Akanlahti,,x,,,akanlahd
Ala,Ala,,,x,,ala
Ala härmä,Alahärmä,,x,,,ala härm
Ala Tornio,Alatornio,,x,,,ala tornio
Ala veteli,Alaveteli,,x,,,ala vetel
Ala vus,Alavus,other,x,,,ala vus
Alahärmäs,Alahärmä,,x,,,alahärmäs
Alajärvel,Alajärvi,other,x,,,alajärvel
Alajarvi,Alajärvi,other,x,,,alajarv
Alas,Alas,,,x,,alas
Alas taro,Alastaro,,x,,,alas taro
Alaska,Alaska,other,x,,,alask
Alator-nio,Alatornio,other,x,,,alator-nio
Älatornio,Alatornio,other,x,,,älatornio
Alavainen,Alavoinen,karelia,x,,,alavain
Alavoisissa,Alavoinen,karelia,x,,,alavois
Alavudel,Alavus,other,x,,,alavudel
Alavudella,Alavus,other,x,,,alavud
Alavus,Alavus,other,x,,,alavus
Alavus k,Alavus,other,x,,,alavus k
Alhaisissa,Ahlainen,,x,,,alhais
Am,Am,,,x,,am
Ambomaa,Ambomaa,other,x,,,ambom
Amerikka,Amerikka,other,x,,,amerik
Amreassa,Antrea,karelia,x,,,amrea
Anajala,Anjala,,x,,,anajal
Anbomaalla,Anbomaa,other,x,,,anbom
Angalniemi,Angelniemi,,x,,,angalniem
Angel-niemi,Angelniemi,,x,,,angel-niem
Anireassa,Antrea,karelia,x,,,anirea
Anireasss,Antrea,,x,,,anireass
Anjalassa,Anjala,,x,,,anjal
Anjat vi,Anjat vi,,,x,,anjat v
Anlreassa,Antrea,,x,,,anlrea
Ant rea,Antrea,,x,,,ant r
Ant-rea,Antrea,,x,,,ant-r
Ant-reassa,Antrea,,x,,,ant-rea
Anteassa,Antrea,,x,,,antea
Anteea,Antrea,,x,,,anteea
Antera,Antrea,,x,,,anter
Antereassa,Antrea,,x,,,anterea
Antilassa,Anttila,,x,,,antil
Antjärvellä,Antjärvi,,x,,,antjärv
Antraa,Antrea,,x,,,antr
Antrca,Antrea,,x,,,antrc
Antrea k,Antrea,,x,,,antrea k
Antreas,Antrea,,x,,,antreas
Äntreassa,Antrea,,x,,,äntrea
AntreassaPuol,Antrea,,x,,,antreassapuol
Antreassö,Antrea,,x,,,antreasö
Antreassp,Antrea,,x,,,antreassp
Antrelssa,Antrea,,x,,,antrel
Antroassa,Antrea,,x,,,antroa
Äotsä,Äotsä,,,x,,äots
Arkangelissa,Arkangeli,,x,,,arkangel
Art,Art,,,x,,art
Artjarvellä,Artjärvi,,x,,,artjarv
Artjarvellö,Artjärvi,,x,,,artjarvelö
Artola,Artola,,,,,artol
asepalvelusten aikana,asepalvelusten aikana,,,x,,asepalvelusten aik
Asik kala,Asikkala,other,x,,,asik kal
Asikkalasss,Asikkala,,x,,,asikkalass
Askai-nen,Askainen,,x,,,askai-n
Askaisissa,Askainen,,x,,,askais
Äskeisissä,Askainen,,x,,,äskeis
Askolassa,Askola,,x,,,askol
Asuinp,Asuinp,,,x,,asuinp
Atreassa,Antrea,,x,,,atrea
Aunuksessa,Aunus,karelia,x,,,aunuks
Aunus,Aunus,karelia,x,,,aunus
Australiassa,Australia,other,x,,,australia
auto-onnettomuudessa,auto-onnettomuudessa,,,x,,auto-onnettomuud
AuVa,AuVa,,,,,auva
Auverbergissa,Auverberg,,x,,,auverberg
Avioit,Avioit,,,x,,avioi
Avräpää,Ayräpää,karelia,x,,,avräp
Ay,Ay,,,x,,ay
Äy,Äy,,,x,,äy
Äy räpää,Äyräpää,,x,,,äy räp
Ay-rapaa,Äyräpää,,x,,,ay-rap
Ay-räpää,Äyräpää,,x,,,ay-räp
Äy-räpää,Äyräpää,,x,,,äy-räp
Äyr,Äyräpää,,x,,,äyr
Ayrä,Äyräpää,,x,,,ayrä
Äyrä pää,Äyräpää,,x,,,äyrä p
Ayrä-pää,Äyräpää,,x,,,ayrä-p
Äyrä-pää,Äyräpää,,x,,,äyrä-p
ÄyräAino,ÄyräAino,,,x,,äyräaino
Äyräpää,Äyräpää,,x,,,äyräp
Äyräpää k,Äyräpää,,x,,,äyräpää k
Äyrapääs,Äyräpää,,x,,,äyrapääs
Äyräpääs,Äyräpää,,x,,,äyräpääs
Ayräpäassä,Äyräpää,,x,,,ayräpäa
Äyräpaässa,Äyräpää,,x,,,äyräpaä
Äyräpäässo,Äyräpää,,x,,,äyräpääso
Äyräpäässö,Äyräpää,,x,,,äyräpääsö
Äyräpäflssä,Äyräpää,,x,,,äyräpäfl
Ayräpäo,Äyräpää,,x,,,ayräpäo
Äyräpäossä,Äyräpää,,x,,,äyräpäo
Äyrapoä,Äyräpää,,x,,,äyrapo
Äyrapöä,Äyräpää,,x,,,äyrapö
Bakussa,Baku,,x,,Azerbaijan,baku
Belgiassa,Belgia,other,x,,belgium,belgia
Bergössä,Bergö,other,x,,,bergö
Berliinissä,Berliini,other,x,,germany,berliin
Boessa,Boe,other,x,,,boes
Bostonissa,Boston,other,x,,usa,boston
Bressburgissa,Bressburg,other,x,,,bressburg
Caracas,Caracas,other,x,,Venezuela,caracas
Drags fjärd,Dragsfjärd,other,x,,,drags fjärd
Dragsfjärdiss,Dragsfjärd,,x,,,dragsfjärdis
Dragsjärdissä,Dragsfjärd,,x,,,dragsjärd
Dresden,Dresden,other,x,,,dresd
Edmonton,Edmonton,other,x,,Canada,edmonto
Eemelissä,Eemeli,,,x,,eemel
Eestissä,Eesti,other,x,,,eest
Eiimäki,Elimäki,other,x,,,eiimäk
Eislingenissä,Eislingen,other,x,,,eislingen
Eli,Eli,,,x,,eli
Eli mäki,Elimäki,other,x,,,eli mäk
Elimäellä,Elimäki,,x,,,elimäe
ElirrVäki,Elimäki,,x,,,elirrväk
Elisen-vaara,Elisenvaara,karelia,x,,,elisen-vaar
Elisenivaarassa,Elisenvaara,karelia,x,,,elisenivaar
Elisenvaarassa,Elisenvaara,,x,,,elisenvaar
EliVnäki,EliVnäki,,,x,,elivnäk
Eljas,Eljas,,,x,,eljas
emännän,emännän,,,x,,emän
Englannissa,Englanti,other,x,,,englan
Enköping,Enköping,other,x,,,enköping
Enonkoskella,Enonkoski,,x,,,enonkosk
Enoss,Eno,,x,,,enos
ensimmäisestä,ensimmäisestä,,,x,,ensimmäis
Ensossa,Enso,karelia,x,,,enso
Eronn,Eronn,,,x,,eron
Es poo,Espoo,other,x,,,es po
