fixed_name,region,ambiguousRegion
Viipuri,karelia,TRUE
Muolaa,karelia,TRUE
Uusikirkko,karelia,TRUE
Jaakkima,karelia,TRUE
Salmi,karelia,TRUE
Antreassa,karelia,TRUE
Kivennapa,karelia,TRUE
Koivisto,karelia,TRUE
Viipurin mlk,karelia,FALSE
Impilahti,karelia,TRUE
Sortavalan mlk,karelia,FALSE
Jääski,karelia,TRUE
Säkkijärvi,karelia,TRUE
Kirvu,karelia,TRUE
Kurkijoki,karelia,TRUE
Pyhäjärvi,karelia,TRUE
Sortavala,karelia,TRUE
Räisälä,karelia,TRUE
Johannes,karelia,TRUE
Hiitola,karelia,TRUE
Suojärvi,karelia,TRUE
Sakkola,karelia,TRUE
Kuolemajärvi,karelia,FALSE
Suistamo,karelia,TRUE
Metsäpirtti,karelia,FALSE
Valkjärvi,karelia,TRUE
Rautu,karelia,TRUE
Ruskeala,karelia,TRUE
Heinjoki,karelia,TRUE
Terijoki,karelia,TRUE
Valkjärvi,karelia,TRUE
Kaukola,karelia,TRUE
Helsinlg,other,FALSE
Harlu,karelia,TRUE
Vahviala,karelia,TRUE
Kanneljärvi,karelia,TRUE
Käkisalmi,karelia,TRUE
Uukuniemi,karelia,TRUE
Vuoksela,karelia,TRUE
Soanlahti,karelia,TRUE
Lumivaara,karelia,TRUE
Parikkala,other,TRUE
Äyräpää,karelia,TRUE
Pälkjärvi,karelia,TRUE
Vuoksenranta,karelia,TRUE
Lappee,karelia,TRUE
Turun,other,FALSE
Ruokolahti,other,TRUE
Korpiselkä,karelia,TRUE
Virolahti,other,TRUE
Kitee,other,TRUE
Tampere,other,FALSE
Pietari,other,TRUE
Nuijamaa,other,TRUE
Lavansaari,karelia,FALSE
Rautjärvi,karelia,TRUE
Seiskari,karelia,TRUE
Kuopio,other,TRUE
Valkeala,other,TRUE
Käkisalmen mlk,karelia,FALSE
Pielisjärvi,other,TRUE
Jämsä,other,FALSE
Liperi,other,TRUE
Joutseno,other,TRUE
Kymin,other,FALSE
