id,used,name,region,stemmedName,extractedName,latitude,longitude
4779,True,Hamari,other,-hamar,-hamari,,
3619,True,Harlu,karelia,-harlu,-Harlu,,
5929,True,Hattula,other,-hattul,-Hattula,,
9295,True,Haukivuori,other,-haukivuor,-Haukivuori,,
988,True,Heinolanmlk,other,heinolanmlk,Heinolanmlk,,
1040,True,Helsinginmlk,other,helsinginmlk,Helsinginmlk,,
3624,True,Helsinki,other,-helsink,-Helsinki,,
6218,True,Jaakkima,karelia,-jaakkim,-Jaakkima,,
3498,True,Jääski,karelia,-jääsk,-Jääski,,
8942,True,Jalasjärvi,other,-jalasjärv,-Jalasjärvi,,
8190,True,Jämsä,other,-jäms,-Jämsä,65.18115,25.48028
9960,True,Juva,other,-juva,-Juva,,
5591,True,Kalvola,other,-kalvol,-Kalvola,,
8356,True,Kausala,other,-kausal,-Kausala,,
5702,True,Kaustinen,other,-kaustin,-Kaustinen,,
5372,True,Kemiö,other,-kemiö,-Kemiö,,
9755,True,Kirvu,karelia,-kirvu,-Kirvu,,
9352,True,Koivisto,karelia,-koivisto,-Koivisto,,
7083,True,Kokkola,other,-kokkol,-Kokkola,,
6704,True,korpi,other,-korp,-korpi,,
5047,True,Köyliö,other,-köyliö,-Köyliö,,
10083,True,Kuhmoinen,other,-kuhmoin,-Kuhmoinen,,
5163,True,Kuopio,other,-kuopio,-Kuopio,,
9855,True,Kurikka,other,-kurik,-Kurikka,,
10076,True,Kurkijoki,karelia,-kurkijok,-Kurkijoki,,
5651,True,Lahti,other,-laht,-Lahti,61.15,21.48333
10832,True,läkkälä,karelia,-läkkäl,-läkkälä,,
6342,True,lankylä,karelia,-lankyl,-lankylä,,
9520,True,Lappväärtti,other,-lappväärt,-Lappväärtti,,
2673,True,Laukaa,other,-lauka,-Laukaa,,
10863,True,mentaka,other,-mentak,-mentaka,,
2828,True,nola,other,-nola,-nola,,
9642,True,Noormarkku,other,-noormarku,-Noormarkku,,
3722,True,Parkano,other,-parkano,-Parkano,,
8020,True,Piikkiö,other,-piikiö,-Piikkiö,,
9950,True,Punkalaidun,other,-punkalaidu,-Punkalaidun,,
6155,True,Rantasalmi,other,-rantasalm,-Rantasalmi,,
10344,True,Rautjärvi,other,-rautjärv,-Rautjärvi,,
4243,True,Rusko,other,-rusko,-Rusko,,
17,True,Saarijärvi,other,-saarijärv,-Saarijärvi,,
9919,True,Sakkola,karelia,-sakkol,-Sakkola,,
5643,True,Salmi,karelia,-salm,-Salmi,,
8953,True,Savitaipale,other,-savitaipal,-Savitaipale,,
11190,True,Sodassa,other,-soda,-Sodassa,,
11189,True,Suistamo,karelia,-suistamo,-Suistamo,,
8206,True,tiala,other,-tiala,-tiala,,
9532,True,tiö,other,-tiö,-tiö,,
9124,True,Viipuri,karelia,-viipur,-Viipuri,,
8033,True,Viitalla,other,-viita,-Viitalla,,
4030,True,Virtasalmi,other,-virtasalm,-Virtasalmi,,
6578,True,Ääenkoski,other,ääenkosk,Ääenkoski,,
8327,True,Aake,other,aake,Aake,,
11525,True,Aaljärvi,other,aaljärv,Aaljärvi,,
9884,True,Aaljoki,other,aaljok,Aaljoki,60.26098,23.26368
9945,True,Aalstaro,other,aalstaro,Aalstaro,,
3411,True,Aalvus,other,aalvus,Aalvus,,
4867,True,Aämslinna,karelia,aämslin,Aämslinna,,
10613,True,Ääneko,,ääne,Ääneko,,
12135,True,Äänekoski,karelia,äänekosk,Äänekoski,,
930,True,Äänekoskenmlk,other,äänekoskenmlk,Äänekoskenmlk,,
7678,True,Äänekoskikk,other,äänekoskik,Äänekoskikk,,
1028,True,Äänekoskimlk,other,äänekoskimlk,Äänekoskimlk,,
841,True,Ääneskoski,other,ääneskosk,Ääneskoski,,
12320,True,Äänikoski,other,äänikosk,Äänikoski,,
8596,True,Ääninen,karelia,äänin,Ääninen,63.90692,38.11112
5216,True,Aänisiinna,other,aänisiin,Aänisiinna,,
9837,True,Äänisiinna,karelia,äänisiin,Äänisiinna,,
6015,True,Äänisjärvi,karelia,äänisjärv,Äänisjärvi,,
6998,True,Aänislinna,karelia,aänislin,Aänislinna,,
3992,True,Äanislinna,karelia,äanislin,Äanislinna,,
468,True,Äänislinna,karelia,äänislin,Äänislinna,61.78491,34.34691
11914,True,Äänislin-nassa,,äänislin-n,Äänislin-nassa,,
6446,True,Äänislinnaja,karelia,äänislinnaj,Äänislinnaja,,
6338,True,Aapajoki,other,aapajok,Aapajoki,66.01132,24.13241
5655,True,Aarre,other,aar,Aarre,,
5862,True,Aarne,other,aarn,Aarne,,
4340,True,Aaro,other,aaro,Aaro,,
8252,True,Aatola,other,aatol,Aatola,62,27.2
281,True,Aavasaksa,other,aavasaks,Aavasaksa,66.37946,23.70263
12049,True,Äavasaksa,other,äavasaks,Äavasaksa,,
10794,True,Aavus,other,aavus,Aavus,,
2097,True,Adolfina,other,adolf,Adolfina,,
4044,True,Äeneskoski,other,äeneskosk,Äeneskoski,,
5229,True,Aetsä,other,aets,Aetsä,,
1348,True,Äetsä,other,äets,Äetsä,61.28333,22.68333
1147,True,Äetsäas,other,äetsäas,Äetsäas,,
7053,True,Afrikka,other,afrik,Afrikka,,
7302,True,Agläjärvi,karelia,agläjärv,Agläjärvi,,
1560,True,Ägläjärvi,karelia,ägläjärv,Ägläjärvi,62.34674,31.85726
8982,True,Ähtä,,äh,Ähtä,,
3698,True,Ahaa,other,aha,Ahaa,,
3840,True,Ahalainen,other,ahalain,Ahalainen,,
4435,True,Ahdink,karelia,ahdink,Ahdink,,
4359,True,Ahiainen,other,ahiain,Ahiainen,,
9113,True,Ahijärvi,karelia,ahijärv,Ahijärvi,60.3848,29.78149
2412,True,Ahjarvi,karelia,ahjarv,Ahjarvi,,
8769,True,Ahjärvi,karelia,ahjärv,Ahjärvi,,
5,True,Ahlainen,other,ahlain,Ahlainen,61.67538,21.62092
10994,True,Ählainen,other,ählain,Ählainen,,
3233,True,Ahlainenkk,other,ahlainenk,Ahlainenkk,,
9953,True,Ahlajärvi,other,ahlajärv,Ahlajärvi,61.07177,23.85345
6480,True,Ahlanen,other,ahlan,Ahlanen,,
6146,True,Ahmo,other,ahmo,Ahmo,60.53333,24.28333
7664,True,Ahmoonkylä,other,ahmoonkyl,Ahmoonkylä,60.53333,24.28333
5672,True,Ahola,karelia,ahol,Ahola,61.50665,30.18803
3608,True,Aholahti,other,aholaht,Aholahti,61.88396,28.75961
3866,True,Aholainen,other,aholain,Aholainen,,
9782,True,Ahonen,other,ahon,Ahonen,60.82527,24.33276
6205,True,Ahoniitty,other,ahoniity,Ahoniitty,60.48438,24.79614
11496,True,Ahonkylä,other,ahonkyl,Ahonkylä,62.53754,23.09388
4991,True,Ähtäfri,other,ähtäfr,Ähtäfri,,
3178,True,Ahtaillen,other,ahtail,Ahtaillen,,
6954,True,Ähtäjärvi,karelia,ähtäjärv,Ähtäjärvi,,
155,True,Ähtäri,other,ähtär,Ähtäri,62.59465,24.21264
4268,True,Ähtärias,other,ähtärias,Ähtärias,,
4261,True,Ähtärikk,other,ähtärik,Ähtärikk,,
7513,True,Ahtava,other,ahtav,Ahtava,,
2287,True,Ähtävä,other,ähtäv,Ähtävä,,
8551,True,Ahtavakk,other,ahtavak,Ahtavakk,,
8555,True,Ähtäväkk,other,ähtäväk,Ähtäväkk,,
1170,True,Ahtiainen,other,ahtiain,Ahtiainen,,
6496,True,Ahtiainenkk,other,ahtiainenk,Ahtiainenkk,,
4286,True,Ahtiala,karelia,ahtial,Ahtiala,,
