id,name,region,stemmedName,extractedName,latitude,longitude
4779,Hamari,other,-hamar,-hamari,,
3619,Harlu,karelia,-harlu,-Harlu,,
5929,Hattula,other,-hattul,-Hattula,,
9295,Haukivuori,other,-haukivuor,-Haukivuori,,
8193,Heinolanmlk,other,-heinolanmlk,-Heinolanmlk,,
5662,Helsinginmlk,other,-helsinginmlk,-Helsinginmlk,,
3624,Helsinki,other,-helsink,-Helsinki,,
6218,Jaakkima,karelia,-jaakkim,-Jaakkima,,
3498,Jääski,karelia,-jääsk,-Jääski,,
8942,Jalasjärvi,other,-jalasjärv,-Jalasjärvi,,
8190,Jämsä,other,-jäms,-Jämsä,65.18115,25.48028
9960,Juva,other,-juva,-Juva,,
5591,Kalvola,other,-kalvol,-Kalvola,,
8356,Kausala,other,-kausal,-Kausala,,
5702,Kaustinen,other,-kaustin,-Kaustinen,,
5372,Kemiö,other,-kemiö,-Kemiö,,
9755,Kirvu,karelia,-kirvu,-Kirvu,,
9352,Koivisto,karelia,-koivisto,-Koivisto,,
7083,Kokkola,other,-kokkol,-Kokkola,,
6704,korpi,other,-korp,-korpi,,
5047,Köyliö,other,-köyliö,-Köyliö,,
10083,Kuhmoinen,other,-kuhmoin,-Kuhmoinen,,
5163,Kuopio,other,-kuopio,-Kuopio,,
9855,Kurikka,other,-kurik,-Kurikka,,
10076,Kurkijoki,karelia,-kurkijok,-Kurkijoki,,
5651,Lahti,other,-laht,-Lahti,61.15,21.48333
10832,läkkälä,karelia,-läkkäl,-läkkälä,,
6342,lankylä,karelia,-lankyl,-lankylä,,
9520,Lappväärtti,other,-lappväärt,-Lappväärtti,,
2673,Laukaa,other,-lauka,-Laukaa,,
10863,mentaka,other,-mentak,-mentaka,,
2828,nola,other,-nola,-nola,,
9642,Noormarkku,other,-noormarku,-Noormarkku,,
3722,Parkano,other,-parkano,-Parkano,,
8020,Piikkiö,other,-piikiö,-Piikkiö,,
9950,Punkalaidun,other,-punkalaidu,-Punkalaidun,,
6155,Rantasalmi,other,-rantasalm,-Rantasalmi,,
10344,Rautjärvi,other,-rautjärv,-Rautjärvi,,
4243,Rusko,other,-rusko,-Rusko,,
17,Saarijärvi,other,-saarijärv,-Saarijärvi,,
9919,Sakkola,karelia,-sakkol,-Sakkola,,
5643,Salmi,karelia,-salm,-Salmi,,
8953,Savitaipale,other,-savitaipal,-Savitaipale,,
11190,Sodassa,other,-soda,-Sodassa,,
11189,Suistamo,karelia,-suistamo,-Suistamo,,
8206,tiala,other,-tiala,-tiala,,
9532,tiö,other,-tiö,-tiö,,
9124,Viipuri,karelia,-viipur,-Viipuri,,
8033,Viitalla,other,-viita,-Viitalla,,
4030,Virtasalmi,other,-virtasalm,-Virtasalmi,,
6578,Ääenkoski,other,ääenkosk,Ääenkoski,,
8327,Aake,other,aake,Aake,,
10910,Aalajärvi,other,aalajärv,Aalajärvi,,
11525,Aaljärvi,other,aaljärv,Aaljärvi,,
9884,Aaljoki,other,aaljok,Aaljoki,60.26098,23.26368
9945,Aalstaro,other,aalstaro,Aalstaro,,
3411,Aalvus,other,aalvus,Aalvus,,
4867,Aämslinna,karelia,aämslin,Aämslinna,,
10613,Ääneko,,ääne,Ääneko,,
12135,Äänekoski,karelia,äänekosk,Äänekoski,,
168,Äänekoski,other,äänekosk,Äänekoski,62.6785,26.01072
1760,Äänekoski,,äänekosk,Äänekoski,,
5261,Äänekosken mlk,other,äänekosken mlk,Äänekosken mlk,,
930,Äänekoskenmlk,other,äänekoskenmlk,Äänekoskenmlk,,
7678,Äänekoskikk,other,äänekoskik,Äänekoskikk,,
1028,Äänekoskimlk,other,äänekoskimlk,Äänekoskimlk,,
841,Ääneskoski,other,ääneskosk,Ääneskoski,,
12320,Äänikoski,other,äänikosk,Äänikoski,,
8596,Ääninen,karelia,äänin,Ääninen,63.90692,38.11112
5216,Aänisiinna,other,aänisiin,Aänisiinna,,
9837,Äänisiinna,karelia,äänisiin,Äänisiinna,,
6015,Äänisjärvi,karelia,äänisjärv,Äänisjärvi,,
5917,Äänisjärvi,other,äänisjärv,Äänisjärvi,,
6998,Aänislinna,karelia,aänislin,Aänislinna,,
11573,Aänislinna,other,aänislin,Aänislinna,,
11824,Aänislinnassa,,aänislin,Aänislinnassa,,
3992,Äanislinna,karelia,äanislin,Äanislinna,,
468,Äänislinna,karelia,äänislin,Äänislinna,61.78491,34.34691
1854,Äänislinna,other,äänislin,Äänislinna,,
10854,Äänislinna,,äänislin,Äänislinna,61.78491,34.34691
11914,Äänislin-nassa,,äänislin-n,Äänislin-nassa,,
6446,Äänislinnaja,karelia,äänislinnaj,Äänislinnaja,,
6338,Aapajoki,other,aapajok,Aapajoki,66.01132,24.13241
5655,Aarre,other,aar,Aarre,,
5862,Aarne,other,aarn,Aarne,,
4340,Aaro,other,aaro,Aaro,,
8252,Aatola,other,aatol,Aatola,62,27.2
281,Aavasaksa,other,aavasaks,Aavasaksa,66.37946,23.70263
12049,Äavasaksa,other,äavasaks,Äavasaksa,,
10794,Aavus,other,aavus,Aavus,,
2097,Adolfina,other,adolf,Adolfina,,
4044,Äeneskoski,other,äeneskosk,Äeneskoski,,
5229,Aetsä,other,aets,Aetsä,,
1348,Äetsä,other,äets,Äetsä,61.28333,22.68333
1147,Äetsäas,other,äetsäas,Äetsäas,,
7053,Afrikka,other,afrik,Afrikka,,
7302,Agläjärvi,karelia,agläjärv,Agläjärvi,,
1560,Ägläjärvi,karelia,ägläjärv,Ägläjärvi,62.34674,31.85726
8982,Ähtä,,äh,Ähtä,,
3698,Ahaa,other,aha,Ahaa,,
3840,Ahalainen,other,ahalain,Ahalainen,,
4435,Ahdink,karelia,ahdink,Ahdink,,
4359,Ahiainen,other,ahiain,Ahiainen,,
9113,Ahijärvi,karelia,ahijärv,Ahijärvi,60.3848,29.78149
2412,Ahjarvi,karelia,ahjarv,Ahjarvi,,
8769,Ahjärvi,karelia,ahjärv,Ahjärvi,,
5,Ahlainen,other,ahlain,Ahlainen,61.67538,21.62092
10994,Ählainen,other,ählain,Ählainen,,
3233,Ahlainenkk,other,ahlainenk,Ahlainenkk,,
9953,Ahlajärvi,other,ahlajärv,Ahlajärvi,61.07177,23.85345
6480,Ahlanen,other,ahlan,Ahlanen,,
6146,Ahmo,other,ahmo,Ahmo,60.53333,24.28333
12030,Ahmonkylä,other,ahmonkyl,Ahmonkylä,,
7664,Ahmoonkylä,other,ahmoonkyl,Ahmoonkylä,60.53333,24.28333
5672,Ahola,karelia,ahol,Ahola,61.50665,30.18803
7210,Ahola,other,ahol,Ahola,61.18097,26.27715
3608,Aholahti,other,aholaht,Aholahti,61.88396,28.75961
3866,Aholainen,other,aholain,Aholainen,,
9782,Ahonen,other,ahon,Ahonen,60.82527,24.33276
6205,Ahoniitty,other,ahoniity,Ahoniitty,60.48438,24.79614
11496,Ahonkylä,other,ahonkyl,Ahonkylä,62.53754,23.09388
4991,Ähtäfri,other,ähtäfr,Ähtäfri,,
3178,Ahtaillen,other,ahtail,Ahtaillen,,
6954,Ähtäjärvi,karelia,ähtäjärv,Ähtäjärvi,,
155,Ähtäri,other,ähtär,Ähtäri,62.59465,24.21264
4268,Ähtärias,other,ähtärias,Ähtärias,,
4261,Ähtärikk,other,ähtärik,Ähtärikk,,
7513,Ahtava,other,ahtav,Ahtava,,
2287,Ähtävä,other,ähtäv,Ähtävä,,
8551,Ahtavakk,other,ahtavak,Ahtavakk,,
8555,Ähtäväkk,other,ähtäväk,Ähtäväkk,,
1170,Ahtiainen,other,ahtiain,Ahtiainen,,
6496,Ahtiainenkk,other,ahtiainenk,Ahtiainenkk,,
4286,Ahtiala,karelia,ahtial,Ahtiala,,
3142,Ahtiala,other,ahtial,Ahtiala,61.00287,25.77029
6239,Ahvenanmaa,other,ahvenanm,Ahvenanmaalla,,
1020,Ahvenjärvi,,ahvenjärv,Ahvenjärvi,64.7,30.9
5099,Ahvenkoski,other,ahvenkosk,Ahvenkoski,60.50081,26.47797
10260,Ahvenlampi,karelia,ahvenl,Ahvenlampi,61.90995,32.67334
8710,Ahvenlampi,other,ahvenl,Ahvenlampi,,
11250,Ahvenlahti,karelia,ahvenlaht,Ahvenlahti,66.0635,31.75577
3030,Ahvenniemi,other,ahvenniem,Ahvenniemi,65.77318,29.64648
8322,Ahvenoja,karelia,ahveno,Ahvenoja,,
4630,Ahvijoki,karelia,ahvijok,Ahvijoki,,
2928,Ahvionsaari,other,ahvionsaar,Ahvionsaari,61.72976,28.73224
1890,Ahvola,karelia,ahvol,Ahvola,,
8343,Ahvolan,other,ahvol,Ahvolan,,
1664,Aiasommee,karelia,aiasom,Aiasommee,,
8139,aiilankylä,karelia,aiilankyl,aiilankylä,,
3024,AIJAA,karelia,aija,AIJAA,,
11872,Aijaia,other,aijaia,Aijaia,,
2174,Aijala,other,aijal,Aijala,60.19335,23.35379
11208,Äijalä,other,äijal,Äijalä,,
11408,Äijälä,other,äijäl,Äijälä,62.52523,26.05167
4336,Äijälänkylä,other,äijälänkyl,Äijälänkylä,,
8158,Äijälänsalmi,other,äijälänsalm,Äijälänsalmi,,
8098,Aikkola,other,aikkol,Aikkola,,
6062,Aili,other,aili,Aili,,
2884,Aimo,karelia,aimo,Aimo,,
5062,Aimo,other,aimo,Aimo,,
7296,Aimontalo,other,aimontalo,Aimontalo,,
6584,Aini,other,aini,Aini,,
7718,Äiniö,other,äiniö,Äiniö,61.2623,25.45239
402,Aino,other,aino,Aino,,
2276,Airanne,karelia,aira,Airanne,,
2088,Aira,other,aira,Aira,,
7002,Airaksela,other,airaksel,Airaksela,62.75937,27.37955
8706,Airi,other,airi,Airi,,
11789,Airikanpää,karelia,airikanp,Airikanpää,,
8177,Airikkala,karelia,airikkal,Airikkala,,
6431,Airismaa,other,airism,Airismaa,60.33333,21.98333
7648,Airola,other,airol,Airola,60.51667,24.4
89,Aitoo,other,aito,Aitoo,61.3375,24.49751
2219,Äitoo,other,äito,Äitoo,,
9854,Aitojahti,other,aitojaht,Aitojahti,,
3906,Aitolahti,other,aitolaht,Aitolahti,,
8759,Äitolahti,other,äitolaht,Äitolahti,,
4377,Aitolahtikk,other,aitolahtik,Aitolahtikk,,
6969,Aitomäki,other,aitomäk,Aitomäki,60.86193,26.85253
874,Aitoniemi,other,aitoniem,Aitoniemi,61.56796,23.82447
6337,Äitse,other,äits,Äitse,,
6464,Äitsaari,karelia,äitsaar,Äitsaari,,
8255,Äitsaari,other,äitsaar,Äitsaari,61.3,28.58333
4064,Aittanummi,other,aittanu,Aittanummi,,
11761,Aittojärvi,other,aittojärv,Aittojärvi,63.67021,26.39625
10956,Aittokoski,other,aittokosk,Aittokoski,63.69993,27.41998
10782,Aittolahti,other,aittolaht,Aittolahti,,
5235,Aittomäki,other,aittomäk,Aittomäki,62.99388,22.12954
11055,Ajos,other,ajos,Ajos,,
12401,Ajostaipale,other,ajostaipal,Ajostaipale,62.05,24.43333
7899,Äjostaipale,other,äjostaipal,Äjostaipale,,
566,Akaa,other,aka,Akaa,61.16667,23.86667
9509,Akaaas,other,akaaas,Akaaas,,
6544,Akanlahti,,akanlaht,Akanlahti,,
9922,Akanpitäjä,other,akanpitäj,Akanpitäjä,,
6437,Akkaharju,karelia,akkaharju,Akkaharju,61.45936,29.86668
